Id,AccountId,AccountPermanentSpecialInstructions__c,AssetLevel,AverageUptimePerDay,Branch__c,BranchCode__c,Brand__c,Building247PhoneNumber__c,BuildingAddress__c,BuildingDayPhoneNumber__c,BuildingNumber__c,BuildingPermanentSpecialInstructions__c,CarOpenings__c,ContractEndDate__c,ContractLineItem__c,ContractNumber__c,ContractNumberCalulated__c,ContractStartDate__c,CustomerDesignation__c,DateTimeLastUpdated__c,DTMFCodes__c,ElevatorPhoneNumber__c,Elite__c,FieldSupervisor__c,GBO_Name__c,IsCompetitorProduct,IsInternal,LineShared__c,LocationId,ManualAssignmentOverride__c,Model__c,Name,NIS_End_Date__c,NIS_Start_Date__c,NISMISContractNumber__c,OperationalStatus__c,OperationalStatusReason__c,OvertimeIncluded__c,PermanentSpecialInstructions__c,PhonePrefix__c,PrimaryDialOut__c,ProductFamily,ProductFamily__c,ProductType__c,QOP_Flag__c,RathSmartViewURL__c,REMType__c,RMDManufacturer__c,RootAssetId,RouteMechanic__c,RouteName__c,RouteNumber__c,RouteOfficeCode__c,SecondaryDialOut__c,SerialNumber,SharedWith__c,SpecialInstructionsExpirationDate__c,Status,StatusReason__c,SumDowntime,TemporarySpecialInstructions__c,TemporarySpecialInstructionsFormula__c,TimeZone__c,UnitModel__c,UpdatedByIntegration__c,Account.Name,Branch__r.Name,ContractLineItem__r.Name,Location.Name,RootAsset.Name,RouteName__r.Name
02iDO0000001MRsYAM,001DO000003Z3s0YAC,"This is Account Perm Instructions 
This second line added 3/18/2023",1,24,a0rDO0000004OXzYAM,CDH,OTIS,,"1 Carrier Place,Farmington,CT,06032",(999) 999-9999,CDH 111222,"This is Building Perm Special Ins
This second line added 3/18 - Building",,2028-02-21,a0zDO0000004QsmYAE,CDH06888,,2023-02-22,#2 ELITE,2023-03-13T19:55:29.000+0000,Answer: 0 then 1 | Play Location: 2 | Extended Time: 3 | Disconnect: *0,,Yes,Supervisor OTIS,Salesforce GBO,false,false,false,131DO000000L076YAC,false,,C555555,,,,In Service,In Service,No,"NO Cats allowed! This is a perm special instruction
This second line added 3/18-UNIT",,,,Passenger Elevator,,false,https://urldefense.com/v3/__https:/www.rathsmartview.com/rescueservices/5b7f585ec6684c66b9c8cbf5ee43f89c2022984d2f1d400683cc0f8515183aac__;%21%21MvWE%21XIFFIL81mgnUlijIFeVMKMyGEI4JGlG8XYxdweuv9GbxNC8qe0Pu1F3PZT0zX1CGkg$,Not Installed,OTIS,02iDO0000001MRsYAM,Mechanic2 OTIS,0HhDO000000L0KP0A0,02,CDH,,C555555,,2023-03-14,Active,,0,This is Temp Special Ins for C555555. expires 3/14,,America/New_York,,true,Charlie Dog LLC,DEV HUB Office,CDH06888_C555555,Groovy Groomers,C555555,CDH02
02iDO0000001MRtYAM,001DO000003Z3s0YAC,"This is Account Perm Instructions 
This second line added 3/18/2023",1,24,a0rDO0000004OXzYAM,CDH,OTIS,,"1 Carrier Place,Farmington,CT,06032",(999) 999-9999,CDH 111222,"This is Building Perm Special Ins
This second line added 3/18 - Building",,,,,,,#4 No Contract,2023-03-13T19:48:51.000+0000,Answer: Talk | Play Location: ** | Extended Time: n/a | Disconnect: *#,8606766847,Yes,,Salesforce GBO,false,false,false,131DO000000L076YAC,false,Rath Microtech Smartphone 5,C000000,,,,In Service,In Service,,This is UNIT Perm Special Instructions,9,TAC line,,Passenger Elevator,,false,https://urldefense.com/v3/__https:/www.rathsmartview.com/rescueservices/5b7f585ec6684c66b9c8cbf5ee43f89c2022984d2f1d400683cc0f8515183aac__;%21%21MvWE%21XIFFIL81mgnUlijIFeVMKMyGEI4JGlG8XYxdweuv9GbxNC8qe0Pu1F3PZT0zX1CGkg$,Not Installed,TAC,02iDO0000001MRtYAM,,,,,,C000000,,2023-03-14,Active,,0,This is Unit Special Instructions,,America/New_York,,true,Charlie Dog LLC,DEV HUB Office,,Groovy Groomers,C000000,
02iDO0000001MRuYAM,001DO000003Z3s0YAC,"This is Account Perm Instructions 
This second line added 3/18/2023",1,24,a0rDO0000004OXzYAM,CDH,OTIS,,"1 Carrier Place,Farmington,CT,06032",(999) 999-9999,CDH 111222,"This is Building Perm Special Ins
This second line added 3/18 - Building",,2028-02-21,a0zDO0000004QsnYAE,CDH06888,,2023-02-22,#1 No Overtime,2023-03-13T19:54:38.000+0000,Answer: 0 then 1 | Play Location: 2 | Extended Time: 3 | Disconnect: *0,,,Supervisor OTIS,Salesforce GBO,false,false,false,131DO000000L076YAC,false,,C888888,,,,In Service,In Service,No,This is UNIT Perm Instructions,,,,Passenger Elevator,,false,https://urldefense.com/v3/__https:/www.rathsmartview.com/rescueservices/5b7f585ec6684c66b9c8cbf5ee43f89c2022984d2f1d400683cc0f8515183aac__;%21%21MvWE%21XIFFIL81mgnUlijIFeVMKMyGEI4JGlG8XYxdweuv9GbxNC8qe0Pu1F3PZT0zX1CGkg$,Not Installed,OTIS,02iDO0000001MRuYAM,Mechanic2 OTIS,0HhDO000000L0KP0A0,02,CDH,,C888888,,2023-03-19,Active,In Service,0,"This is UNIT Special Ins for C888888 updated on 3/18, set to expire 3/19",,America/New_York,,true,Charlie Dog LLC,DEV HUB Office,CDH06888_C888888,Groovy Groomers,C888888,CDH02
02iDO0000001MRvYAM,001DO000003Z3s0YAC,"This is Account Perm Instructions 
This second line added 3/18/2023",1,24,a0rDO0000004OXzYAM,CDH,OTIS,,"1 Carrier Place,Farmington,CT,06032",(999) 999-9999,CDH 111222,"This is Building Perm Special Ins
This second line added 3/18 - Building",,2028-02-21,a0zDO0000004QslYAE,CDH06888,,2023-02-22,#3 ESC Spl Ins,2023-02-22T21:44:00.000+0000,Answer: 0 then 1 | Play Location: 2 | Extended Time: 3 | Disconnect: *0,800 233 6847,Yes,Supervisor OTIS,Salesforce GBO,false,false,false,131DO000000L076YAC,true,,C111111,,,,Shutdown,Shutdown for Repair,No,This elv must always be Manually Assigned,8,,,Passenger Elevator,,false,https://urldefense.com/v3/__https:/www.rathsmartview.com/rescueservices/5b7f585ec6684c66b9c8cbf5ee43f89c2022984d2f1d400683cc0f8515183aac__;%21%21MvWE%21XIFFIL81mgnUlijIFeVMKMyGEI4JGlG8XYxdweuv9GbxNC8qe0Pu1F3PZT0zX1CGkg$,Not Installed,OTIS,02iDO0000001MRvYAM,Mechanic1 OTIS,0HhDO000000LtiG0AS,04,CDH,,C111111,,2023-10-30,Active,In Service,0,This is Special for SI testing,This is Special for SI testing,America/New_York,,true,Charlie Dog LLC,DEV HUB Office,CDH06888_C111111,Groovy Groomers,C111111,CDH04
02iDO0000001MXwYAM,,,1,24,a0rDO0000004OXzYAM,CDH,OTIS,(999) 999-9999,,(999) 999-9999,CDH171717,Updated Special instruction of building 1 - Building Sync testing.,,,,,,,Dev HUB Virtual,,Answer: 0 then 1 | Play Location: 2 | Extended Time: 3 | Disconnect: *0,8606732440,,,Salesforce GBO,false,false,true,131DO000000L075YAC,false,Blue Box,D191919,,,,Shutdown,Shutdown for Repair,,,9,None,,Passenger Elevator,,false,https://urldefense.com/v3/__https:/www.rathsmartview.com/rescueservices/5b7f585ec6684c66b9c8cbf5ee43f89c2022984d2f1d400683cc0f8515183aac__;%21%21MvWE%21XIFFIL81mgnUlijIFeVMKMyGEI4JGlG8XYxdweuv9GbxNC8qe0Pu1F3PZT0zX1CGkg$,Not Installed,OTIS,02iDO0000001MXwYAM,,,,,Front desk,D191919,Elv2,,Active,,0,,,America/New_York,,false,,DEV HUB Office,,DEV HUB Virtual Building,D191919,
02iDO0000001Tn1YAE,001DO000003Z5DIYA0,Perm Account,1,24,a0rDO0000004OXuYAM,CMP,OTIS,,"95 Fluffy Way,Burlington,CT,06013",,,,,2028-03-14,a0zDO0000004RvhYAE,CMP65000,,2023-03-15,Cat Runner,2023-03-28T16:25:34.000+0000,Answer: 0 then 1 | Play Location: 2 | Extended Time: 3 | Disconnect: *0,,,,Salesforce GBO,false,false,false,131DO000000MVaiYAG,false,,C444445,,,,,,Yes,,,,,Trav-o-lator,,false,https://urldefense.com/v3/__https:/www.rathsmartview.com/rescueservices/5b7f585ec6684c66b9c8cbf5ee43f89c2022984d2f1d400683cc0f8515183aac__;%21%21MvWE%21XIFFIL81mgnUlijIFeVMKMyGEI4JGlG8XYxdweuv9GbxNC8qe0Pu1F3PZT0zX1CGkg$,Not Installed,OTIS,02iDO0000001Tn1YAE,,,,,,D191919,,2023-03-30,Active,In Service,0,"Special instructions updated: when special instructions updated : ""Date / Time Last Updated"" field to be updated with current date and time.",,America/New_York,,true,Cool Cats LLC,Asset Marketplace LR,CMP65000-C444444,Kitty Day Spa,C444445,
02iDO0000001MRnYAM,001DO000003Z3s0YAC,"This is Account Perm Instructions 
This second line added 3/18/2023",1,24,a0rDO0000004OXzYAM,CDH,OTIS,,"100 Carrier Place,Farmington,CT,06032",(800) -23-3-68 47,CDH 123456,This is Building Perm Instructions,10,,,,CDH999999,,#2 NIS MIS,,Answer: 0 then 1 | Play Location: 2 | Extended Time: 3 | Disconnect: *0,,,Supervisor OTIS,Salesforce GBO,false,false,false,131DO000000L077YAC,false,,C999999,2024-01-01,2023-01-01,CDH999999,In Service,In Service,,,,,,Passenger Elevator,Gearless Belted MR,true,https://urldefense.com/v3/__https:/www.rathsmartview.com/rescueservices/5b7f585ec6684c66b9c8cbf5ee43f89c2022984d2f1d400683cc0f8515183aac__;%21%21MvWE%21XIFFIL81mgnUlijIFeVMKMyGEI4JGlG8XYxdweuv9GbxNC8qe0Pu1F3PZT0zX1CGkg$,Not Installed,OTIS,02iDO0000001MRnYAM,Mechanic1 OTIS,0HhDO000000L0KN0A0,01,CDH,,C999999,,,Active,,0,,,America/New_York,GEN2 - G2S,false,Charlie Dog LLC,DEV HUB Office,,Charlie's Dog Biscuit Shoppe,C999999,CDH01
02iDO0000001MRoYAM,,,1,24,a0rDO0000004OXzYAM,CDH,OTIS,(999) 999-9999,,(999) 999-9999,CDH171717,Updated Special instruction of building 1 - Building Sync testing.,,,,,,,Dev HUB Virtual,,Answer: 0 then 1 | Play Location: 2 | Extended Time: 3 | Disconnect: *0,8606732440,,,Salesforce GBO,false,false,true,131DO000000L075YAC,false,Blue Box,D111111,,,,In Service,In Service,,Unit Permanent Special Instructions,9,None,,Passenger Elevator,,false,https://urldefense.com/v3/__https:/www.rathsmartview.com/rescueservices/5b7f585ec6684c66b9c8cbf5ee43f89c2022984d2f1d400683cc0f8515183aac__;%21%21MvWE%21XIFFIL81mgnUlijIFeVMKMyGEI4JGlG8XYxdweuv9GbxNC8qe0Pu1F3PZT0zX1CGkg$,Not Installed,OTIS,02iDO0000001MRoYAM,,,,,Front desk,D111111,Elv2,2023-03-20,Active,,0,Temporary Special Instructions*,,America/New_York,,true,,DEV HUB Office,,DEV HUB Virtual Building,D111111,
02iDO0000001MRpYAM,001DO000003Z3s0YAC,"This is Account Perm Instructions 
This second line added 3/18/2023",1,24,a0rDO0000004OXzYAM,CDH,OTIS,,"100 Carrier Place,Farmington,CT,06032",(800) -23-3-68 47,CDH 123456,This is Building Perm Instructions,,2028-02-21,a0zDO0000004QsoYAE,CDH06222,,2023-02-22,#4 SuspendADA,,Answer: 0 then 1 | Play Location: 2 | Extended Time: 3 | Disconnect: *0,8606738887,,Supervisor OTIS,Salesforce GBO,false,false,false,131DO000000L077YAC,false,COP,C222222,,,,In Service,In Service,,,8,8002376847,,Passenger Elevator,,false,https://urldefense.com/v3/__https:/www.rathsmartview.com/rescueservices/5b7f585ec6684c66b9c8cbf5ee43f89c2022984d2f1d400683cc0f8515183aac__;%21%21MvWE%21XIFFIL81mgnUlijIFeVMKMyGEI4JGlG8XYxdweuv9GbxNC8qe0Pu1F3PZT0zX1CGkg$,Not Installed,OTIS,02iDO0000001MRpYAM,Mechanic1 OTIS,0HhDO000000L0KN0A0,01,CDH,,C222222,,,Active,Suspended,0,,,America/New_York,,true,Charlie Dog LLC,DEV HUB Office,CDH06222_C222222,Charlie's Dog Biscuit Shoppe,C222222,CDH01
02iDO0000001MRqYAM,001DO000003Z3s0YAC,"This is Account Perm Instructions 
This second line added 3/18/2023",1,24,a0rDO0000004OXzYAM,CDH,OTIS,,"100 Carrier Place,Farmington,CT,06032",(800) -23-3-68 47,CDH 123456,This is Building Perm Instructions,,2028-02-14,a0zDO0000004QskYAE,CDH06555,,2023-02-15,#3 OtisONE,,Answer: 0 then 1 | Play Location: 2 | Extended Time: 3 | Disconnect: *0,,,Supervisor OTIS,Salesforce GBO,false,false,false,131DO000000L077YAC,false,,C444444,,,,In Service,In Service,No,,,,,Passenger Elevator,,false,https://urldefense.com/v3/__https:/www.rathsmartview.com/rescueservices/5b7f585ec6684c66b9c8cbf5ee43f89c2022984d2f1d400683cc0f8515183aac__;%21%21MvWE%21XIFFIL81mgnUlijIFeVMKMyGEI4JGlG8XYxdweuv9GbxNC8qe0Pu1F3PZT0zX1CGkg$,Not Installed,OTIS,02iDO0000001MRqYAM,Mechanic2 OTIS,0HhDO000000L0KP0A0,02,CDH,,C444444,,,Active,In Service,0,,,America/New_York,,true,Charlie Dog LLC,DEV HUB Office,CDH06555_C444444,Charlie's Dog Biscuit Shoppe,C444444,CDH02
