Id,ComponentCode__c,ComponentDescription__c,Name,Status__c
a0yDO000000QRbAYAW,G99,HOISTWAY - OTHER,G99,Active
a0yDO000000QRbBYAW,H01,GOVERNOR - OVERSPEED SWITCH (OS),H01,Active
a0yDO000000QRbCYAW,H02,GOVERNOR - BEARINGS,H02,Active
a0yDO000000QRbDYAW,H03,GOVERNOR - SHEAVE,H03,Active
a0yDO000000QRbEYAW,201,AFT SLAVE VEHICLE AFT BLOWER MOTOR TEMPERATURE HIG,201,Active
a0yDO000000QRbFYAW,202,AFT SLAVE VEHICLE AFT BLOWER OIL COOLING EQUIPMENT,202,Active
a0yDO000000QRbGYAW,203,AFT SLAVE VEHICLE AFT BLOWER PRESSURE SWITCH CK1 F,203,Active
a0yDO000000QRbHYAW,204,AFT SLAVE VEHICLE AFT BLOWER PRESSURE SWITCH CK2 F,204,Active
a0yDO000000QRbIYAW,205,AFT SLAVE VEHICLE AFT BLOWER OIL PLUMBING FAULT EA,205,Active
a0yDO000000QRbJYAW,206,AFT SLAVE VEHICLE AFT BLOWER FAULT EAST LANE,206,Active
a0yDO000000QRbKYAW,059,ALARM RECORDING SYSTEM ACTIVATED,059,Active
a0yDO000000QRbLYAW,060,FIRE CONCOURSE A EAST LANE,060,Active
a0yDO000000QRbMYAW,051,ATP HALTED WEST LANE,051,Active
a0yDO000000QRbNYAW,052,ATS HALTED WEST LANE,052,Active
a0yDO000000QRbOYAW,061,FIRE CONCOURSE A WEST LANE,061,Active
a0yDO000000QRbPYAW,062,FIRE AT TRAIN EAST LANE,062,Active
a0yDO000000QRbQYAW,063,FIRE AT TRAIN WEST LANE,063,Active
a0yDO000000QRbRYAW,064,MASTER VEHICLE SUSPENSION LOSS EAST LANE,064,Active
a0yDO000000QRbSYAW,035,GUIDEWAY CONTACTOR FAULT WEST LANE,035,Active
a0yDO000000QRbTYAW,036,TERMINAL OVERTRAVEL WEST LANE,036,Active
a0yDO000000QRbUYAW,223,FWD SLAVE VEHICLE FWD BLOWER PRESSURE SWITCH CK2 F,223,Active
a0yDO000000QRbVYAW,224,FWD SLAVE VEHICLE FWD BLOWER OIL PLUMBING FAULT WE,224,Active
a0yDO000000QRbWYAW,225,FWD SLAVE VEHICLE AFT BLOWER MOTOR TEMPERATURE HIG,225,Active
a0yDO000000QRbXYAW,226,FWD SLAVE VEHICLE AFT BLOWER OIL COOLING EQUIPMENT,226,Active
a0yDO000000QRbYYAW,227,FWD SLAVE VEHICLE AFT BLOWER PRESSURE SWITCH CK1 F,227,Active
a0yDO000000QRbZYAW,228,FWD SLAVE VEHICLE AFT BLOWER PRESSURE SWITCH CK2 F,228,Active
a0yDO000000QRbaYAG,229,FWD SLAVE VEHICLE AFT BLOWER OIL PLUMBING FAULT WE,229,Active
a0yDO000000QRbbYAG,230,FWD SLAVE VEHICLE AFT BLOWER FAULT WEST LANE,230,Active
a0yDO000000QRbcYAG,231,FWD SLAVE VEHICLE FWD BLOWER FAULT WEST LANE,231,Active
a0yDO000000QRbdYAG,232,AFT SLAVE VEHICLE FWD BLOWER MOTOR TEMPERATURE HIG,232,Active
a0yDO000000QRbeYAG,038,TRAIN OVERSPEED FAULT WEST LANE,038,Active
a0yDO000000QRbfYAG,039,MANUAL EMERGENCY STOP WEST LANE,039,Active
a0yDO000000QRbgYAG,040,DRIVE CONTACTOR FAULT WEST LANE,040,Active
a0yDO000000QRbhYAG,041,TENSION WEIGHT OVERTRAVEL FAULT WEST LANE,041,Active
a0yDO000000QRbiYAG,042,DEROPEMENT FAULT WEST LANE,042,Active
a0yDO000000QRbjYAG,043,CONVERTER CRITICAL FAULT WEST LANE,043,Active
a0yDO000000QRbkYAG,044,MOTOR CRITICAL FAULT WEST LANE,044,Active
a0yDO000000QRblYAG,045,VEHICLE FAULT WEST LANE,045,Active
a0yDO000000QRbmYAG,046,BARRIER SAFETY FAULT WEST LANE,046,Active
a0yDO000000QRbnYAG,047,MOTOR NON CRITICAL FAULT WEST LANE,047,Active
a0yDO000000QRboYAG,048,DOOR FAULT WEST LANE,048,Active
a0yDO000000QRivYAG,022,FIRE TERMINAL 3 EAST LANE,022,Active
a0yDO000000QRisYAG,D47,CAR DOOR - LINKAGE,D47,Active
a0yDO000000QRitYAG,D48,CAR DOOR - PC BOARD,D48,Active
a0yDO000000QRiuYAG,020,EARTHQUAKE NON CRITICAL FAULT EAST LANE,020,Active
a0yDO000000QRiwYAG,023,FIRE CONCOURSE B EAST LANE,023,Active
a0yDO000000QRixYAG,024,CONVERTER NON CRITICAL FAULT EAST LANE,024,Active
a0yDO000000QRiyYAG,025,ATO HALTED EAST LANE,025,Active
a0yDO000000QRizYAG,026,ATP HALTED EAST LANE,026,Active
a0yDO000000QRj0YAG,A42,CAR CONTROLLER - READJUST CONTROLLER(TOTAL),A42,Active
a0yDO000000QRj1YAG,A43,CAR CONTROLLER - READJUST CONTROLLER(PARTIAL),A43,Active
a0yDO000000QRj2YAG,A44,CAR CONTROLLER - READJUST DISPATCHING,A44,Active
a0yDO000000QRj3YAG,A45,CAR CONTROLLER - S.A.L.C.,A45,Active
a0yDO000000QRj4YAG,A46,CAR CONTROLLER - SOFTWARE,A46,Active
a0yDO000000QRj5YAG,A47,REM,A47,Active
a0yDO000000QRj6YAG,A48,CAR CONTROLLER - EMERGENCY RETURN UNIT (ERU),A48,Active
a0yDO000000QRj7YAG,A70,CAR CONTROLLER - E401/E101 UPGRADE,A70,Active
a0yDO000000QRj8YAG,L12,SELECTOR - FLOOR CONTROLLER,L12,Active
a0yDO000000QRj9YAG,L13,SELECTOR - OVERSPEED LIMIT,L13,Active
a0yDO000000QRjAYAW,L14,SELECTOR - PAWL MAGNET,L14,Active
