Id,Name,Status__c,WorkPerformedCode__c,WorkPerformedDescription__c
a19DO0000000A1uYAE,01,Active,01,ADJUSTED
a19DO0000000A1vYAE,02,Active,02,REPAIRED
a19DO0000000A1wYAE,03,Active,03,REPLACED
a19DO0000000A1xYAE,07,Active,07,ADJUSTED CONTACT
a19DO0000000A1yYAE,08,Active,08,RETURNED CAR TO SVC.
a19DO0000000A1zYAE,09,Active,09,REPLACED BULB
a19DO0000000A20YAE,10,Active,10,CHECKED
a19DO0000000A21YAE,11,Active,11,REPLACED/ADJUSTED BRUSH
a19DO0000000A22YAE,12,Active,12,REPLACED MICROSWITCH
a19DO0000000A23YAE,13,Active,13,CLEANED CONTACT
a19DO0000000A24YAE,14,Active,14,REPLACED CONTACT
a19DO0000000A25YAE,15,Active,15,CLEANED AND ADJUSTED
a19DO0000000A26YAE,04,Active,04,RESET / POR
a19DO0000000A27YAE,05,Active,05,LUBRICATED
a19DO0000000A28YAE,06,Active,06,CLEANED
a19DO0000000A29YAE,16,Active,16,OBSERVED OPERATION
a19DO0000000A2AYAU,17,Active,17,TIGHTENED
a19DO0000000A2BYAU,18,Active,18,ADJUSTED BRUSH
a19DO0000000A2CYAU,19,Active,19,ADJUSTED FOR PERFORMANCE TIME
a19DO0000000A2DYAU,22,Active,22,ADJUSTED MICROSWITCH
a19DO0000000A2EYAU,23,Active,23,ADJUSTED SPRING
a19DO0000000A2FYAU,24,Active,24,ADJUSTED WIRE
a19DO0000000A2GYAU,25,Active,25,CHECKED BRUSH
a19DO0000000A2HYAU,26,Active,26,PAINTED
a19DO0000000A2IYAU,27,Active,27,CHECKED CABLE
a19DO0000000A2JYAU,28,Active,28,CHECKED COIL
a19DO0000000A2KYAU,29,Active,29,CHECKED CONTACT
a19DO0000000A2LYAU,30,Active,30,CHECKED MICROSWITCH
a19DO0000000A2MYAU,31,Active,31,CHECKED SPRING
a19DO0000000A2NYAU,32,Active,32,CHECKED WIRE
a19DO0000000A2OYAU,33,Active,33,CLEANED BRUSH
a19DO0000000A2PYAU,34,Active,34,RELOCATED
a19DO0000000A2QYAU,35,Active,35,CLEANED CABLE
a19DO0000000A2RYAU,36,Active,36,CLEANED COIL
a19DO0000000A2SYAU,37,Active,37,CLEANED MICROSWITCH
a19DO0000000A2TYAU,38,Active,38,CLEANED SPRING
a19DO0000000A2UYAU,39,Active,39,CLEANED WIRE
a19DO0000000A2VYAU,40,Active,40,CLEANED/ADJUSTED BRUSH
a19DO0000000A2WYAU,41,Active,41,CLEANED/ADJUSTED BULB
a19DO0000000A2XYAU,42,Active,42,CLEANED/ADJUSTED CABLE
a19DO0000000A2YYAU,43,Active,43,CLEANED/ADJUSTED COIL
a19DO0000000A2ZYAU,44,Active,44,CLEANED/ADJUSTED CONTACT
a19DO0000000A2aYAE,45,Active,45,CLEANED/ADJUSTED SWITCH
a19DO0000000A2bYAE,46,Active,46,CLEANED/ADJUSTED SPRING
a19DO0000000A2cYAE,47,Active,47,CLEANED/ADJUSTED WIRE
a19DO0000000A2dYAE,48,Active,48,LUBRICATED BRUSH
a19DO0000000A2eYAE,49,Active,49,REPAIRS DUE TO MISUSE
a19DO0000000A2fYAE,50,Active,50,LUBRICATED CABLE
a19DO0000000A2gYAE,51,Active,51,LUBRICATED COIL
a19DO0000000A2hYAE,20,Active,20,ADJUSTED CABLE
a19DO0000000A2iYAE,21,Active,21,ADJUSTED COIL
a19DO0000000A2jYAE,52,Active,52,LUBRICATED CONTACT
a19DO0000000A2kYAE,53,Active,53,LUBRICATED MICROSWTCH
a19DO0000000A2lYAE,54,Active,54,LUBRICATED SPRING
a19DO0000000A2mYAE,55,Active,55,LUBRICATED WIRE
a19DO0000000A2nYAE,56,Active,56,REPAIRED BRUSH
a19DO0000000A2oYAE,57,Active,57,REPAIRED CABLE
a19DO0000000A2pYAE,58,Active,58,REPAIRED MICROSWITCH
a19DO0000000A2qYAE,59,Active,59,REPAIRED SPRING
a19DO0000000A2rYAE,60,Active,60,REPAIRED WIRE / CABLE
a19DO0000000A2sYAE,61,Active,61,REPLACED BRUSH
