Name,FSL__Active__c,FSL__Boolean_Operator__c,FSL__Break_Duration__c,FSL__Break_Start__c,FSL__CountObject__c,FSL__CountTimeResolution__c,FSL__CountType__c,FSL__Crew_Max_Extra_Resources__c,FSL__Crew_Resources_Availability__c,FSL__CustomFieldName__c,FSL__DefaultLimit__c,FSL__Description__c,FSL__Enable_Overtime__c,FSL__Enhanced_Match_Linking_Object__c,FSL__isTimephased__c,FSL__Is_Fixed_Gap__c,FSL__Matching_Skills_Operator__c,FSL__Match_Constant_Boolean_Value__c,FSL__Match_Skill_Level__c,FSL__Maximum_Travel_From_Home_Type__c,FSL__Maximum_Travel_From_Home__c,FSL__Minimum_Gap__c,FSL__Object_Group_Field__c,FSL__Pass_Empty_Values__c,FSL__Resource_Group_Field__c,FSL__Resource_Property__c,FSL__Service_Appointment_Matching_Field__c,FSL__Service_Linking_Object_Reference_Field__c,FSL__Service_Property__c,FSL__Service_Schedule_Time_Property__c,FSL__Service_Time_Operator__c,FSL__Service_Time_Property__c,FSL__Skill_Type__c,FSL__Start_of_Day__c,FSL__Travel_From_Home__c,FSL__Travel_To_Home__c,FSL__Working_Location_Enable_Primary__c,FSL__WorkRule_End_DateTime_Field__c,FSL__WorkRule_Start_DateTime_Field__c,RecordType.Name
Excluded Resources,true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,,true,true,Distance,,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,Field Service - Excluded Resources
Secondary work rule,true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,,true,true,Distance,,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,Field Service - Working Territories
Working Territories,true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,,true,true,Distance,,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,Field Service - Working Territories
Field Employee Availability,true,=,60,12:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,,true,true,Distance,,0,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,0,0,false,,,Field Service - Service Resource Availability
Contractor Availability,true,=,60,12:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,,true,true,Distance,,0,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,0,0,false,,,Field Service - Service Resource Availability
Active Resources,true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,,true,true,Distance,,,,false,,IsActive,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,Field Service - Match Boolean
Service Crew Resources Availability,true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,9,false,false,,true,true,Distance,,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,Field Service - Service Crew Resources Availability
Match Territory,true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,,true,true,Distance,,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,Field Service - Match Territory
Match Skills,true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,,true,true,Distance,,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,Field Service - Match Skills
Maximum Travel From Home,true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,,true,true,Distance,40,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,Field Service - Maximum Travel From Home
Required Service Resource,true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,,true,true,Distance,,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,Field Service - Required Resources
Service Appointment Visiting Hours,true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,,true,true,Distance,,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,Field Service - Service Appointment Visiting Hours
Scheduled Start,true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,,true,true,Distance,,,,true,,,,,ServiceTerritory,SchedStartTime,Later than or Equal to,ArrivalWindowStartTime,,00:00,,,false,,,Field Service - Match Time Rule
Due Date custom,true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,,true,true,Distance,,,,false,,,,,ServiceTerritory,SchedStartTime,Later than or Equal to,DueDate,,00:00,,,false,,,Field Service - Match Time Rule
Scheduled End,true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,,true,true,Distance,,,,true,,,,,ServiceTerritory,SchedStartTime,Before or Equal to,ArrivalWindowEndTime,,00:00,,,false,,,Field Service - Match Time Rule
Resource Availability,true,=,60,12:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,,true,true,Distance,,0,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,0,0,false,,,Field Service - Service Resource Availability
