Id,Name,ComponentCode__c,Status__c,Category__c,ComponentDescription__c
a2I8H000000krFLUAY,G99,G99,Active,,HOISTWAY - OTHER
a2I8H000000krFMUAY,H01,H01,Active,Governor,GOVERNOR - OVERSPEED SWITCH (OS)
a2I8H000000krFNUAY,H02,H02,Active,Governor,GOVERNOR - BEARINGS
a2I8H000000krFOUAY,H03,H03,Active,Governor,GOVERNOR - SHEAVE
a2I8H000000krFPUAY,201,201,Active,,AFT SLAVE VEHICLE AFT BLOWER MOTOR TEMPERATURE HIG
a2I8H000000krFQUAY,202,202,Active,,AFT SLAVE VEHICLE AFT BLOWER OIL COOLING EQUIPMENT
a2I8H000000krFRUAY,203,203,Active,,AFT SLAVE VEHICLE AFT BLOWER PRESSURE SWITCH CK1 F
a2I8H000000krFSUAY,204,204,Active,,AFT SLAVE VEHICLE AFT BLOWER PRESSURE SWITCH CK2 F
a2I8H000000krFTUAY,205,205,Active,,AFT SLAVE VEHICLE AFT BLOWER OIL PLUMBING FAULT EA
a2I8H000000krFUUAY,206,206,Active,,AFT SLAVE VEHICLE AFT BLOWER FAULT EAST LANE
a2I8H000000krFVUAY,059,059,Active,,ALARM RECORDING SYSTEM ACTIVATED
a2I8H000000krFWUAY,060,060,Active,,FIRE CONCOURSE A EAST LANE
a2I8H000000krFXUAY,051,051,Active,,ATP HALTED WEST LANE
a2I8H000000krFYUAY,052,052,Active,,ATS HALTED WEST LANE
a2I8H000000krFZUAY,061,061,Active,,FIRE CONCOURSE A WEST LANE
a2I8H000000krFaUAI,062,062,Active,,FIRE AT TRAIN EAST LANE
a2I8H000000krFbUAI,063,063,Active,,FIRE AT TRAIN WEST LANE
a2I8H000000krFcUAI,064,064,Active,,MASTER VEHICLE SUSPENSION LOSS EAST LANE
a2I8H000000krFdUAI,035,035,Active,,GUIDEWAY CONTACTOR FAULT WEST LANE
a2I8H000000krFeUAI,036,036,Active,,TERMINAL OVERTRAVEL WEST LANE
a2I8H000000krFfUAI,223,223,Active,,FWD SLAVE VEHICLE FWD BLOWER PRESSURE SWITCH CK2 F
a2I8H000000krFgUAI,224,224,Active,,FWD SLAVE VEHICLE FWD BLOWER OIL PLUMBING FAULT WE
a2I8H000000krFhUAI,225,225,Active,,FWD SLAVE VEHICLE AFT BLOWER MOTOR TEMPERATURE HIG
a2I8H000000krFiUAI,226,226,Active,,FWD SLAVE VEHICLE AFT BLOWER OIL COOLING EQUIPMENT
a2I8H000000krFjUAI,227,227,Active,,FWD SLAVE VEHICLE AFT BLOWER PRESSURE SWITCH CK1 F
a2I8H000000krFkUAI,228,228,Active,,FWD SLAVE VEHICLE AFT BLOWER PRESSURE SWITCH CK2 F
a2I8H000000krFlUAI,229,229,Active,,FWD SLAVE VEHICLE AFT BLOWER OIL PLUMBING FAULT WE
a2I8H000000krFmUAI,230,230,Active,,FWD SLAVE VEHICLE AFT BLOWER FAULT WEST LANE
a2I8H000000krFnUAI,231,231,Active,,FWD SLAVE VEHICLE FWD BLOWER FAULT WEST LANE
a2I8H000000krFoUAI,232,232,Active,,AFT SLAVE VEHICLE FWD BLOWER MOTOR TEMPERATURE HIG
a2I8H000000krFpUAI,038,038,Active,,TRAIN OVERSPEED FAULT WEST LANE
a2I8H000000krFqUAI,039,039,Active,,MANUAL EMERGENCY STOP WEST LANE
a2I8H000000krFrUAI,040,040,Active,,DRIVE CONTACTOR FAULT WEST LANE
a2I8H000000krFsUAI,041,041,Active,,TENSION WEIGHT OVERTRAVEL FAULT WEST LANE
a2I8H000000krFtUAI,042,042,Active,,DEROPEMENT FAULT WEST LANE
a2I8H000000krFuUAI,043,043,Active,,CONVERTER CRITICAL FAULT WEST LANE
a2I8H000000krFvUAI,044,044,Active,,MOTOR CRITICAL FAULT WEST LANE
a2I8H000000krFwUAI,045,045,Active,,VEHICLE FAULT WEST LANE
a2I8H000000krFxUAI,046,046,Active,,BARRIER SAFETY FAULT WEST LANE
a2I8H000000krFyUAI,047,047,Active,,MOTOR NON CRITICAL FAULT WEST LANE
a2I8H000000krFzUAI,048,048,Active,,DOOR FAULT WEST LANE
a2I8H000000krG0UAI,022,022,Active,,FIRE TERMINAL 3 EAST LANE
a2I8H000000krG1UAI,D47,D47,Active,,CAR DOOR - LINKAGE
a2I8H000000krG2UAI,D48,D48,Active,Door Operator,CAR DOOR - PC BOARD
a2I8H000000krG3UAI,020,020,Active,,EARTHQUAKE NON CRITICAL FAULT EAST LANE
a2I8H000000krG4UAI,023,023,Active,,FIRE CONCOURSE B EAST LANE
a2I8H000000krG5UAI,024,024,Active,,CONVERTER NON CRITICAL FAULT EAST LANE
a2I8H000000krG6UAI,025,025,Active,,ATO HALTED EAST LANE
a2I8H000000krG7UAI,026,026,Active,,ATP HALTED EAST LANE
a2I8H000000krG8UAI,A42,A42,Active,,CAR CONTROLLER - READJUST CONTROLLER(TOTAL)
a2I8H000000krG9UAI,A43,A43,Active,,CAR CONTROLLER - READJUST CONTROLLER(PARTIAL)
a2I8H000000krGAUAY,A44,A44,Active,Car Controller,CAR CONTROLLER - READJUST DISPATCHING
a2I8H000000krGBUAY,A45,A45,Active,,CAR CONTROLLER - S.A.L.C.
a2I8H000000krGCUAY,A46,A46,Active,,CAR CONTROLLER - SOFTWARE
a2I8H000000krGDUAY,A47,A47,Active,Car Controller,REM
a2I8H000000krGEUAY,A48,A48,Active,Car Controller,CAR CONTROLLER - EMERGENCY RETURN UNIT (ERU)
a2I8H000000krGFUAY,A70,A70,Active,,CAR CONTROLLER - E401/E101 UPGRADE
a2I8H000000krGGUAY,L12,L12,Active,,SELECTOR - FLOOR CONTROLLER
a2I8H000000krGHUAY,L13,L13,Active,,SELECTOR - OVERSPEED LIMIT
a2I8H000000krGIUAY,L14,L14,Active,Selector / PPT,SELECTOR - PAWL MAGNET
a2I8H000000krGJUAY,A20,A20,Active,,CAR CONTROLLER - WRO OPERATION
a2I8H000000krGKUAY,L15,L15,Active,Selector / PPT,SELECTOR - BRUSH
a2I8H000000krGLUAY,L16,L16,Active,,SELECTOR - CIRCUIT
a2I8H000000krGMUAY,146,146,Active,,FWD SLAVE VEHICLE LEFT #2 DOOR NOT LOCKED WEST LAN
a2I8H000000krGNUAY,021,021,Active,,DOOR FAULT EAST LANE
a2I8H000000krGOUAY,L17,L17,Active,Selector / PPT,SELECTOR - RELAY
a2I8H000000krGPUAY,643,643,Active,,VEHICLE CABLE CLAMP
a2I8H000000krGQUAY,644,644,Active,,VEHICLE AIR PAD ASSEMBLY
a2I8H000000krGRUAY,645,645,Active,,VEHICLE CAB WIRING JUNCTION BOX ASSEMBLY
a2I8H000000krGSUAY,646,646,Active,,VEHICLE CHASSIS WIRING JUNCTION BOX ASSEMBLY
a2I8H000000krGTUAY,647,647,Active,,VEHICLE FLOOR JUNCTION BOX DOOR ASSEMBLY
a2I8H000000krGUUAY,648,648,Active,,VEHICLE BATTERY
a2I8H000000krGVUAY,649,649,Active,,VEHICLE AIR CONDITIONING
a2I8H000000krGWUAY,650,650,Active,,VEHICLE PASSENGER DISPLAY
a2I8H000000krGXUAY,651,651,Active,,VEHICLE DOOR OPERATOR
a2I8H000000krGYUAY,652,652,Active,,VEHICLE DOOR ASSEMBLY
a2I8H000000krGZUAY,653,653,Active,,VEHICLE DOOR OPTO COUPLER
a2I8H000000krGaUAI,654,654,Active,,VEHICLE LATERAL GUIDANCE ASSEMBLY
a2I8H000000krGbUAI,655,655,Active,,VEHICLE YAW ASSEMBLY
a2I8H000000krGcUAI,656,656,Active,,VEHICLE BUMPER SWITCH
a2I8H000000krGnUAI,X99,X99,Active,Not Equipment Related,CAR IN SERVICE / CHECKED OPERATION
a2I8H000000krGoUAI,Y81,Y81,Active,Not Equipment Related,NOT EQUIP. RELATED-CUSTOMER TRAVEL TIME
a2I8H000000krGpUAI,Y82,Y82,Active,Not Equipment Related,NOT EQUIP. RELATED - UNABLE TO GAIN ACCESS TO UNIT
a2I8H000000krGqUAI,Y83,Y83,Active,Not Equipment Related,NOT EQUIP RELATED-CAR OVERLOADED / PEOPLE JUMPING
a2I8H000000krGrUAI,Y84,Y84,Active,Not Equipment Related,NOT EQUIP RELATED-ALLOW CAR TOP-PIT ACCESS-RUN CAR
a2I8H000000krGsUAI,Y85,Y85,Active,Not Equipment Related,NOT EQUIPMENT RELATED - STANDBY
a2I8H000000krGtUAI,Y86,Y86,Active,Not Equipment Related,NOT EQUIPMENT RELATED - VANE BEHIND ROLLER
a2I8H000000krGuUAI,Y87,Y87,Active,Not Equipment Related,NOT EQUIPMENT RELATED - KEYS IN PIT
a2I8H000000krGvUAI,Y88,Y88,Active,Not Equipment Related,NOT EQUIPMENT RELATED - WATER IN PIT
a2I8H000000krGwUAI,N99,N99,Active,,MOTOR - OTHER
a2I8H000000krGxUAI,S40,S40,Active,,MAIN MACHINE - BRAKE SHOES
a2I8H000000krGyUAI,S41,S41,Active,,MAIN MACHINE - BRAKE SWITCH
a2I8H000000krGzUAI,S42,S42,Active,,MAIN MACHINE - BRUSH RIGGING
a2I8H000000krH0UAI,S43,S43,Active,,MAIN MACHINE - BUSHINGS
a2I8H000000krH1UAI,626,626,Active,,VEHICLE HVAC CONTROL PANEL ASSEMBLY
a2I8H000000krH2UAI,E04,E04,Active,Car Equipment,CAR - EMERGENCY EXIT SWITCH
a2I8H000000krH3UAI,E05,E05,Active,Car Equipment,CAR - INSPECTION SWITCH
a2I8H000000krH4UAI,E06,E06,Active,,CAR - CAR ON INDEPENDENT SERVICE
a2I8H000000krH5UAI,627,627,Active,,VEHICLE HVAC FAN CB ASSEMBLY
a2I8H000000krH6UAI,628,628,Active,,VEHICLE MAIN CB PANEL
a2I8H000000krH7UAI,629,629,Active,,VEHICLE BLOWER SOFT START ASSEMBLY
a2I8H000000krH8UAI,630,630,Active,,VEHICLE CONTROL VOLT UNIT
a2I8H000000krH9UAI,631,631,Active,,VEHICLE BLOWER
a2I8H000000krHAUAY,632,632,Active,,VEHICLE SIGNALLING UNIT
a2I8H000000krHBUAY,633,633,Active,,VEHICLE DOOR CONTROL RELAY DRIVERS
a2I8H000000krHCUAY,634,634,Active,,VEHICLE DUMP VALVE JUNCTION BOX-OUT
a2I8H000000krHDUAY,635,635,Active,,VEHICLE DUMP VALVE JUNCTION BOX-INNER
a2I8H000000krHEUAY,636,636,Active,,VEHICLE AFT TERMINAL PANEL ASSEMBLY
a2I8H000000krHFUAY,637,637,Active,,VEHICLE AFT TERMINAL PANEL-MANULA CONTROL PANEL
a2I8H000000krHGUAY,638,638,Active,,VEHICLE AFT TERMINAL PANEL-RELAY CONTROL PANEL
a2I8H000000krHHUAY,639,639,Active,,VEHICLE AFT TERMINAL PANEL-CIRCUIT BREAKER PANEL
a2I8H000000krHIUAY,640,640,Active,,VEHICLE AFT TERMINAL PANEL-INTER COMMUNICATION PAN
a2I8H000000krHJUAY,642,642,Active,,VEHICLE ROPE PIC
a2I8H000000krHKUAY,M18,M18,Active,Generator,GENERATOR - MOTOR
a2I8H000000krHLUAY,H07,H07,Active,Governor,GOVERNOR - CAR ON SAFETIES
a2I8H000000krHMUAY,M16,M16,Active,Generator,GENERATOR - INTERPOLES
a2I8H000000krHNUAY,M17,M17,Active,Generator,GENERATOR - ISOLATION
a2I8H000000krHOUAY,M19,M19,Active,Generator,GENERATOR - ROTATING ELEMENT
a2I8H000000krHPUAY,M20,M20,Active,Generator,GENERATOR - WINDINGS
a2I8H000000krHQUAY,H10,H10,Active,,GOVERNOR - BUSHING
a2I8H000000krHRUAY,H11,H11,Active,Governor,GOVERNOR - CAM
a2I8H000000krHSUAY,H12,H12,Active,Governor,GOVERNOR - CONTACTS
a2I8H000000krHTUAY,H13,H13,Active,Governor,GOVERNOR - GEARS
a2I8H000000krHUUAY,H14,H14,Active,Governor,GOVERNOR - JAWS
a2I8H000000krHVUAY,H15,H15,Active,,GOVERNOR - REBUILD CAR GOVERNOR
a2I8H000000krHWUAY,H16,H16,Active,Governor,GOVERNOR - SHAFT
a2I8H000000krHXUAY,H17,H17,Active,Governor,GOVERNOR - SWITCHES
a2I8H000000krHYUAY,H04,H04,Active,Governor,GOVERNOR - BEARINGS - COUNTERWEIGHT GOVERNOR
a2I8H000000krHZUAY,H05,H05,Active,,GOVERNOR - SHEAVE - COUNTERWEIGHT GOVERNOR
a2I8H000000krHaUAI,H18,H18,Active,Governor,GOVERNOR PULL THRU
a2I8H000000krHbUAI,H19,H19,Active,Governor,GOVERNOR SPIN TEST
a2I8H000000krHcUAI,H99,H99,Active,,GOVERNOR - OTHER
a2I8H000000krHdUAI,J01,J01,Active,Hall Fixture,HALL FIXTURE - BUTTON
