Id,Address,Area__c,Branch__c,BranchCode__c,Brand__c,Country__c,Description,FieldSupervisor__c,GBO__c,GBO_Name__c,IsActive,IsUserSupervisor__c,Name,OperatingHoursId,ParentTerritoryId,PrimaryMechanic__c,RecordTypeId,Region__c,RouteNumber__c,SubRegion__c,SupervisorId__c,TimeZone__c,TopLevelTerritoryId,UserFieldSuper__c,Branch__r.Name,FieldSupervisor__r.Name,GBO__r.Name,OperatingHours.Name,ParentTerritory.Name,PrimaryMechanic__r.Name,TopLevelTerritory.Name,RecordType.$$DeveloperName$NamespacePrefix$SobjectType
0HhDO000000L6fS0AS,,OTIS AREA,a0rDO0000004OXuYAM,CMP,OTIS,US,,0HnDO00000006CS0AY,a0rDO0000004OXyYAM,,true,0,CMP01,0OHDO000000Kzr64AC,0HhDO000000L0KO0A0,0HnDO00000006CU0AY,012DO00000006lpYAA,COE Region,01,COE Sub-Region North,CDH01,America/New_York,0HhDO000000L0KO0A0,false,Asset Marketplace LR,Supervisor OTIS,Salesforce GBO,America/New York,Salesforce DevHUB-CDH,Mechanic2 OTIS,Salesforce DevHUB-CDH,Route;ServiceTerritory
0HhDO000000MNO60AO,,OTIS AREA,a0rDO0000004OXuYAM,CMP,OTIS,US,,0HnDO00000006CS0AY,a0rDO0000004OXyYAM,,true,0,CMP02,0OHDO000000Kzr64AC,,0HnDO00000006CT0AY,012DO00000006lpYAA,COE Region,02,COE Sub-Region North,CDH01,America/New_York,0HhDO000000MNO60AO,false,Asset Marketplace LR,Supervisor OTIS,Salesforce GBO,America/New York,,Mechanic1 OTIS,CMP02,Route;ServiceTerritory
0HhDO000000L0KN0A0,,OTIS AREA,a0rDO0000004OXzYAM,CDH,OTIS,US,,0HnDO00000006CS0AY,a0rDO0000004OXyYAM,,true,0,CDH01,0OHDO000000Kzwz4AC,,0HnDO00000006CT0AY,012DO00000006lpYAA,COE Region,01,COE Sub-Region North,CDH01,America/New_York,0HhDO000000L0KN0A0,false,DEV HUB Office,Supervisor OTIS,Salesforce GBO,Pacific/Honolulu,,Mechanic1 OTIS,CDH01,Route;ServiceTerritory
0HhDO000000L0KP0A0,,OTIS AREA,a0rDO0000004OXzYAM,CDH,OTIS,US,Groovy Groomers UNITS,0HnDO00000006CS0AY,a0rDO0000004OXyYAM,,true,0,CDH02,0OHDO000000Kzwz4AC,,0HnDO00000006CU0AY,012DO00000006lpYAA,COE Region,02,COE Sub-Region North,CDH01,America/New_York,0HhDO000000L0KP0A0,false,DEV HUB Office,Supervisor OTIS,Salesforce GBO,Pacific/Honolulu,,Mechanic2 OTIS,CDH02,Route;ServiceTerritory
0HhDO000000LJkk0AG,,OTIS AREA,a0rDO0000004OXzYAM,CDH,OTIS,US,,0HnDO00000006CS0AY,a0rDO0000004OXyYAM,,true,0,CDH03,0OHDO000000Kzwz4AC,,0HnDO00000006CT0AY,012DO00000006lpYAA,COE Region,03,COE Sub-Region North,CDH01,America/New_York,0HhDO000000LJkk0AG,false,DEV HUB Office,Supervisor OTIS,Salesforce GBO,Pacific/Honolulu,,Mechanic1 OTIS,CDH03,Route;ServiceTerritory
0HhDO000000LtiG0AS,,OTIS AREA,a0rDO0000004OXzYAM,CDH,OTIS,US,,0HnDO00000006CS0AY,a0rDO0000004OXyYAM,,true,0,CDH04,0OHDO000000Kzr64AC,,0HnDO00000006CT0AY,012DO00000006lpYAA,COE Region,04,COE Sub-Region North,CDH01,America/New_York,0HhDO000000LtiG0AS,false,DEV HUB Office,Supervisor OTIS,Salesforce GBO,America/New York,,Mechanic1 OTIS,CDH04,Route;ServiceTerritory
0HhDO000000MNNr0AO,,OTIS AREA,a0rDO0000004OXzYAM,CDH,OTIS,US,,0HnDO00000006CS0AY,a0rDO0000004OXyYAM,,true,0,CDH05,0OHDO000000Kzr64AC,,0HnDO00000006CT0AY,012DO00000006lpYAA,COE Region,05,COE Sub-Region North,CDH01,America/New_York,0HhDO000000MNNr0AO,false,DEV HUB Office,Supervisor OTIS,Salesforce GBO,America/New York,,Mechanic1 OTIS,CDH05,Route;ServiceTerritory
0HhDO000000MNNw0AO,,OTIS AREA,a0rDO0000004OXzYAM,CDH,OTIS,US,,0HnDO00000006CS0AY,a0rDO0000004OXyYAM,,true,0,CDH06,0OHDO000000Kzr64AC,,0HnDO00000006CT0AY,012DO00000006lpYAA,COE Region,06,COE Sub-Region North,CDH01,America/New_York,0HhDO000000MNNw0AO,false,DEV HUB Office,Supervisor OTIS,Salesforce GBO,America/New York,,Mechanic1 OTIS,CDH06,Route;ServiceTerritory
0HhDO000000MNO10AO,,OTIS AREA,a0rDO0000004OXzYAM,CDH,OTIS,US,,0HnDO00000006CS0AY,a0rDO0000004OXyYAM,,true,0,CDH10,0OHDO000000Kzr64AC,,0HnDO0000000GB90AM,012DO00000006lpYAA,COE Region,10,COE Sub-Region North,CDH01,America/New_York,0HhDO000000MNO10AO,false,DEV HUB Office,Supervisor OTIS,Salesforce GBO,America/New York,,Mechanic3 OTIS,CDH10,Route;ServiceTerritory
0HhDO000000L0KO0A0,,,,,,,,,,,true,0,Salesforce DevHUB-CDH,0OHDO000000Kzr64AC,,,012DO00000006loYAA,,CDH,,,,0HhDO000000L0KO0A0,false,,,,America/New York,,,Salesforce DevHUB-CDH,Office;ServiceTerritory
