Id,DayOfWeek__c,DayOrder,EndTime__c,Name,Office__c,OfficeCode__c,PrimaryGroup__c,Route__c,SecondaryGroup__c,Sequence__c,ShiftPatternId,ShiftTemplateId,StartTime__c,TertiaryGroup__c,Type__c,WeekOfMonth__c,PrimaryGroup__r.Name,SecondaryGroup__r.Name,ShiftPattern.Name,ShiftTemplate.Name,TertiaryGroup__r.Name
1w2DO0000004HfiYAE,7,1,08:00:00.000Z,SPE-0470,"<a href=""/a0rDO0000004OXz"" target=""_self"">DEV HUB Office</a>","<a href=""/a0rDO0000004OXz"" target=""_self"">CDH</a>",1crDO000000Gnm0YAC,"<a href=""/0HhDO000000L0KN"" target=""_self"">CDH01</a>",1crDO000000GnlzYAC,38,1w1DO0000004CdTYAU,0iJDO0000004DBb2AM,08:00:00.000Z,1crDO000000H4mnYAC,Permanent,3,Mechanic1 OTIS-N004111,Mechanic2 OTIS-C333333,CDH01 Base Day,08:00 to 08:00,Mechanic3 OTIS-C006847
1w2DO0000004HfjYAE,1,1,16:00:00.000Z,SPE-0471,"<a href=""/a0rDO0000004OXz"" target=""_self"">DEV HUB Office</a>","<a href=""/a0rDO0000004OXz"" target=""_self"">CDH</a>",1crDO000000Gnm0YAC,"<a href=""/0HhDO000000L0KN"" target=""_self"">CDH01</a>",1crDO000000GnlzYAC,1,1w1DO0000004CdTYAU,0iJDO0000004DBa2AM,08:00:00.000Z,1crDO000000H4mnYAC,Permanent,,Mechanic1 OTIS-N004111,Mechanic2 OTIS-C333333,CDH01 Base Day,08:00 to 16:00,Mechanic3 OTIS-C006847
1w2DO0000004HfkYAE,3,1,08:00:00.000Z,SPE-0472,"<a href=""/a0rDO0000004OXz"" target=""_self"">DEV HUB Office</a>","<a href=""/a0rDO0000004OXz"" target=""_self"">CDH</a>",1crDO000000Gnm0YAC,"<a href=""/0HhDO000000L0KN"" target=""_self"">CDH01</a>",1crDO000000GnlzYAC,16,1w1DO0000004CdTYAU,0iJDO0000004DBZ2A2,16:00:00.000Z,1crDO000000H4mnYAC,Permanent,3,Mechanic1 OTIS-N004111,Mechanic2 OTIS-C333333,CDH01 Base Day,16:00 to 08:00,Mechanic3 OTIS-C006847
1w2DO0000004HflYAE,3,1,08:00:00.000Z,SPE-0473,"<a href=""/a0rDO0000004OXz"" target=""_self"">DEV HUB Office</a>","<a href=""/a0rDO0000004OXz"" target=""_self"">CDH</a>",1crDO000000Gnm0YAC,"<a href=""/0HhDO000000L0KN"" target=""_self"">CDH01</a>",1crDO000000GnlzYAC,15,1w1DO0000004CdTYAU,0iJDO0000004DBZ2A2,16:00:00.000Z,1crDO000000H4mnYAC,Permanent,2,Mechanic1 OTIS-N004111,Mechanic2 OTIS-C333333,CDH01 Base Day,16:00 to 08:00,Mechanic3 OTIS-C006847
1w2DO0000004HfmYAE,1,1,08:00:00.000Z,SPE-0474,"<a href=""/a0rDO0000004OXz"" target=""_self"">DEV HUB Office</a>","<a href=""/a0rDO0000004OXz"" target=""_self"">CDH</a>",1crDO000000Gnm0YAC,"<a href=""/0HhDO000000L0KN"" target=""_self"">CDH01</a>",1crDO000000GnlzYAC,5,1w1DO0000004CdTYAU,0iJDO0000004DBZ2A2,16:00:00.000Z,1crDO000000H4mnYAC,Permanent,4,Mechanic1 OTIS-N004111,Mechanic2 OTIS-C333333,CDH01 Base Day,16:00 to 08:00,Mechanic3 OTIS-C006847
1w2DO0000004HfnYAE,4,1,08:00:00.000Z,SPE-0475,"<a href=""/a0rDO0000004OXz"" target=""_self"">DEV HUB Office</a>","<a href=""/a0rDO0000004OXz"" target=""_self"">CDH</a>",1crDO000000Gnm0YAC,"<a href=""/0HhDO000000L0KN"" target=""_self"">CDH01</a>",1crDO000000GnlzYAC,22,1w1DO0000004CdTYAU,0iJDO0000004DBZ2A2,16:00:00.000Z,1crDO000000H4mnYAC,Permanent,3,Mechanic1 OTIS-N004111,Mechanic2 OTIS-C333333,CDH01 Base Day,16:00 to 08:00,Mechanic3 OTIS-C006847
1w2DO0000004HfoYAE,2,1,08:00:00.000Z,SPE-0476,"<a href=""/a0rDO0000004OXz"" target=""_self"">DEV HUB Office</a>","<a href=""/a0rDO0000004OXz"" target=""_self"">CDH</a>",1crDO000000Gnm0YAC,"<a href=""/0HhDO000000L0KN"" target=""_self"">CDH01</a>",1crDO000000GnlzYAC,8,1w1DO0000004CdTYAU,0iJDO0000004DBZ2A2,16:00:00.000Z,1crDO000000H4mnYAC,Permanent,1,Mechanic1 OTIS-N004111,Mechanic2 OTIS-C333333,CDH01 Base Day,16:00 to 08:00,Mechanic3 OTIS-C006847
1w2DO0000004HfpYAE,2,1,08:00:00.000Z,SPE-0477,"<a href=""/a0rDO0000004OXz"" target=""_self"">DEV HUB Office</a>","<a href=""/a0rDO0000004OXz"" target=""_self"">CDH</a>",1crDO000000Gnm0YAC,"<a href=""/0HhDO000000L0KN"" target=""_self"">CDH01</a>",1crDO000000GnlzYAC,10,1w1DO0000004CdTYAU,0iJDO0000004DBZ2A2,16:00:00.000Z,1crDO000000H4mnYAC,Permanent,3,Mechanic1 OTIS-N004111,Mechanic2 OTIS-C333333,CDH01 Base Day,16:00 to 08:00,Mechanic3 OTIS-C006847
1w2DO0000004HfqYAE,3,1,08:00:00.000Z,SPE-0478,"<a href=""/a0rDO0000004OXz"" target=""_self"">DEV HUB Office</a>","<a href=""/a0rDO0000004OXz"" target=""_self"">CDH</a>",1crDO000000Gnm0YAC,"<a href=""/0HhDO000000L0KN"" target=""_self"">CDH01</a>",1crDO000000GnlzYAC,18,1w1DO0000004CdTYAU,0iJDO0000004DBZ2A2,16:00:00.000Z,1crDO000000H4mnYAC,Permanent,5,Mechanic1 OTIS-N004111,Mechanic2 OTIS-C333333,CDH01 Base Day,16:00 to 08:00,Mechanic3 OTIS-C006847
1w2DO0000004HfrYAE,5,1,08:00:00.000Z,SPE-0479,"<a href=""/a0rDO0000004OXz"" target=""_self"">DEV HUB Office</a>","<a href=""/a0rDO0000004OXz"" target=""_self"">CDH</a>",1crDO000000Gnm0YAC,"<a href=""/0HhDO000000L0KN"" target=""_self"">CDH01</a>",1crDO000000GnlzYAC,26,1w1DO0000004CdTYAU,0iJDO0000004DBZ2A2,16:00:00.000Z,1crDO000000H4mnYAC,Permanent,1,Mechanic1 OTIS-N004111,Mechanic2 OTIS-C333333,CDH01 Base Day,16:00 to 08:00,Mechanic3 OTIS-C006847
