$$FS_Code__c$FS_Company__c$FS_ContractCategory__c$FS_Frequency__c$FS_Phase__c$FS_ProductClassification__c$FS_VisitPerYear__c,FS_Code__c,FS_Company__c,FS_ContractCategory__c,FS_Frequency__c,FS_Phase__c,FS_ProductClassification__c,FS_VisitPerYear__c,FS_Work_Type_Name__c,FS_WorkType__c,FS_WorkType__r.$$Name$DurationType$DurationInMinutes,Id
OTIS Switzerland;OM;20;NF;Elevator;18,,OTIS Switzerland,OM,20,NF,Elevator,18,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003UwYAI
OTIS Switzerland;OS;17;VM;Elevator;21,,OTIS Switzerland,OS,17,VM,Elevator,21,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003UxYAI
OTIS Switzerland;OS;17;NF;Elevator;22,,OTIS Switzerland,OS,17,NF,Elevator,22,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003UyYAI
OTIS Switzerland;13;VM;Elevator;27,,OTIS Switzerland,,13,VM,Elevator,27,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003UzYAI
OTIS Switzerland;OM;21;VM;Elevator;17,,OTIS Switzerland,OM,21,VM,Elevator,17,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003V0YAI
001P;OTIS Switzerland;364;VM;Elevator;1,001P,OTIS Switzerland,,364,VM,Elevator,1,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003V1YAI
002P;OTIS Switzerland;182;VM;Elevator;2,002P,OTIS Switzerland,,182,VM,Elevator,2,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003V2YAI
003P;OTIS Switzerland;121;VM;Elevator;3,003P,OTIS Switzerland,,121,VM,Elevator,3,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003V3YAI
004P;OTIS Switzerland;91;VM;Elevator;4,004P,OTIS Switzerland,,91,VM,Elevator,4,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003V4YAI
005P;OTIS Switzerland;73;VM;Elevator;5,005P,OTIS Switzerland,,73,VM,Elevator,5,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003V5YAI
006P;OTIS Switzerland;61;VM;Elevator;6,006P,OTIS Switzerland,,61,VM,Elevator,6,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003V6YAI
007P;OTIS Switzerland;52;VM;Elevator;7,007P,OTIS Switzerland,,52,VM,Elevator,7,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003V7YAI
008P;OTIS Switzerland;46;VM;Elevator;8,008P,OTIS Switzerland,,46,VM,Elevator,8,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003V8YAI
009P;OTIS Switzerland;40;VM;Elevator;9,009P,OTIS Switzerland,,40,VM,Elevator,9,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003V9YAI
010P;OTIS Switzerland;36;VM;Elevator;10,010P,OTIS Switzerland,,36,VM,Elevator,10,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003VAYAY
011P;OTIS Switzerland;33;VM;Elevator;11,011P,OTIS Switzerland,,33,VM,Elevator,11,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003VBYAY
012P;OTIS Switzerland;30;VM;Elevator;12,012P,OTIS Switzerland,,30,VM,Elevator,12,Maintenance -VM,08qDO0000008Qt5YAE,Maintenance -VM;Minutes;30,a2aDO00000003VCYAY
OTIS Switzerland;OS;19;VC;Elevator;19,,OTIS Switzerland,OS,19,VC,Elevator,19,Maintenance -VC,08qDO0000008Qt6YAE,Maintenance -VC;Minutes;60,a2aDO00000003VDYAY
OTIS Switzerland;15;VC;Elevator;25,,OTIS Switzerland,,15,VC,Elevator,25,Maintenance -VC,08qDO0000008Qt6YAE,Maintenance -VC;Minutes;60,a2aDO00000003VEYAY
OTIS Switzerland;OM;24;VC;Elevator;15,,OTIS Switzerland,OM,24,VC,Elevator,15,Maintenance -VC,08qDO0000008Qt6YAE,Maintenance -VC;Minutes;60,a2aDO00000003VFYAY
OTIS Switzerland;15;NTC;Elevator;24,,OTIS Switzerland,,15,NTC,Elevator,24,Maintenance -NTC,08qDO0000008Qt7YAE,Maintenance -NTC;Minutes;60,a2aDO00000003VGYAY
OTIS Switzerland;OM;26;NTC;Elevator;14,,OTIS Switzerland,OM,26,NTC,Elevator,14,Maintenance -NTC,08qDO0000008Qt7YAE,Maintenance -NTC;Minutes;60,a2aDO00000003VHYAY
OTIS Switzerland;OS;18;VP;Elevator;20,,OTIS Switzerland,OS,18,VP,Elevator,20,Maintenance -VP,08qDO0000008Qt8YAE,Maintenance -VP;Minutes;60,a2aDO00000003VIYAY
OTIS Switzerland;14;VP;Elevator;26,,OTIS Switzerland,,14,VP,Elevator,26,Maintenance -VP,08qDO0000008Qt8YAE,Maintenance -VP;Minutes;60,a2aDO00000003VJYAY
OTIS Switzerland;OM;23;VP;Elevator;16,,OTIS Switzerland,OM,23,VP,Elevator,16,Maintenance -VP,08qDO0000008Qt8YAE,Maintenance -VP;Minutes;60,a2aDO00000003VKYAY
OTIS Switzerland;16;NM;Elevator;23,,OTIS Switzerland,,16,NM,Elevator,23,Maintenance -NM,08qDO0000008Qt9YAE,Maintenance -NM;Minutes;60,a2aDO00000003VLYAY
OTIS Switzerland;OM;28;NM;Elevator;13,,OTIS Switzerland,OM,28,NM,Elevator,13,Maintenance -NM,08qDO0000008Qt9YAE,Maintenance -NM;Minutes;60,a2aDO00000003VMYAY
