$$Name$Type__c$WorkType__r.Name,Description__c,Id,Name,Type__c,WorkType__c,WorkType__r.$$Name$DurationType$DurationInMinutes
General Verification;Minor;Maintenance -VM,General Verification,a2bDO000000KyxPYAS,General Verification,Minor,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30
Cleaning;Major;Maintenance -VM,Cleaning,a2bDO000000KyxQYAS,Cleaning,Major,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30
Lubrication of step pins;Minor;Maintenance -VM,Lubrication of step pins,a2bDO000000KyxRYAS,Lubrication of step pins,Minor,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30
Lubrication of the step chain;Major;Maintenance -VM,Lubrication of the step chain,a2bDO000000KyxSYAS,Lubrication of the step chain,Major,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30
Pallet lubrication;Minor;Maintenance -VM,Pallet lubrication,a2bDO000000KyxTYAS,Pallet lubrication,Minor,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30
Audible Check;Minor;Maintenance -VM,Audible Check,a2bDO000000KyxOYAS,Audible Check,Minor,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30
Guide system lubrication;Major;Maintenance -VM,Guide system lubrication,a2bDO000000KyxUYAS,Guide system lubrication,Major,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30
Lubrication of the braking system;Minor;Maintenance -VM,Lubrication of the braking system,a2bDO000000KyxVYAS,Lubrication of the braking system,Minor,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30
General lubrication and cleaning;Major;Maintenance -VM,General lubrication and cleaning,a2bDO000000KyxWYAS,General lubrication and cleaning,Major,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30
Visual Check;Major;Maintenance -VM,Visual Check,a2bDO000000KyxXYAS,Visual Check,Major,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30
Operation Check;Major;Maintenance -VM,Operation Check,a2bDO000000KyxYYAS,Operation Check,Major,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30
Audible Check;Minor;Maintenance -NF,Audible Check,a2bDO000000KyxZYAS,Audible Check,Minor,08qDO000000L0JrYAK,Maintenance -NF;Hours;1800
General Verification;Minor;Maintenance -NF,General Verification,a2bDO000000KyxaYAC,General Verification,Minor,08qDO000000L0JrYAK,Maintenance -NF;Hours;1800
Cleaning;Major;Maintenance -NF,Cleaning,a2bDO000000KyxbYAC,Cleaning,Major,08qDO000000L0JrYAK,Maintenance -NF;Hours;1800
Lubrication of step pins;Minor;Maintenance -NF,Lubrication of step pins,a2bDO000000KyxcYAC,Lubrication of step pins,Minor,08qDO000000L0JrYAK,Maintenance -NF;Hours;1800
Lubrication of the step chain;Major;Maintenance -NF,Lubrication of the step chain,a2bDO000000KyxdYAC,Lubrication of the step chain,Major,08qDO000000L0JrYAK,Maintenance -NF;Hours;1800
Pallet lubrication;Minor;Maintenance -NF,Pallet lubrication,a2bDO000000KyxeYAC,Pallet lubrication,Minor,08qDO000000L0JrYAK,Maintenance -NF;Hours;1800
