$$Name$DurationType$DurationInMinutes,DurationInMinutes,DurationType,EstimatedDuration,Id,Name,ServiceReportTemplate.MasterLabel,ServiceReportTemplateId,ShouldAutoCreateSvcAppt
O-Maintenance - Passenger Elevator;Minutes;60,60,Minutes,60,08qDO0000008Qt1YAE,O-Maintenance - Passenger Elevator,,,true
Repair-Switzerland;Minutes;60,60,Minutes,60,08qDO0000008Qt2YAE,Repair-Switzerland,,,true
Maintenance-Switzerland;Minutes;60,60,Minutes,60,08qDO0000008Qt3YAE,Maintenance-Switzerland,,,true
Maintenance -NF;Hours;1800,1800,Hours,30,08qDO0000008Qt4YAE,Maintenance -NF,,,true
Maintenance -VM;Minutes;30,30,Minutes,30,08qDO0000008Qt5YAE,Maintenance -VM,,,true
Maintenance -VC;Minutes;60,60,Minutes,60,08qDO0000008Qt6YAE,Maintenance -VC,,,true
Maintenance -NTC;Minutes;60,60,Minutes,60,08qDO0000008Qt7YAE,Maintenance -NTC,,,true
Maintenance -VP;Minutes;60,60,Minutes,60,08qDO0000008Qt8YAE,Maintenance -VP,,,true
Maintenance -NM;Minutes;60,60,Minutes,60,08qDO0000008Qt9YAE,Maintenance -NM,,,true
Default Work Type;Hours;60,60,Hours,1,08qDO0000008QfsYAE,Default Work Type,,,true
