$$FS_Code__c$FS_Company__c$FS_ContractCategory__c$FS_Frequency__c$FS_Phase__c$FS_ProductClassification__c$FS_VisitPerYear__c,FS_Code__c,FS_Company__c,FS_ContractCategory__c,FS_Frequency__c,FS_Phase__c,FS_ProductClassification__c,FS_VisitPerYear__c,FS_Work_Type_Name__c,FS_WorkType__c,FS_WorkType__r.$$Name$DurationType$DurationInMinutes,Id
OTIS Switzerland;OM;20;NF;Elevator;18,,OTIS Switzerland,OM,20,NF,Elevator,18,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004DkA2AU
OTIS Switzerland;OS;17;VM;Elevator;21,,OTIS Switzerland,OS,17,VM,Elevator,21,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004DkD2AU
OTIS Switzerland;OS;17;NF;Elevator;22,,OTIS Switzerland,OS,17,NF,Elevator,22,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004DkE2AU
OTIS Switzerland;13;VM;Elevator;27,,OTIS Switzerland,,13,VM,Elevator,27,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004DkJ2AU
OTIS Switzerland;OM;21;VM;Elevator;17,,OTIS Switzerland,OM,21,VM,Elevator,17,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004Dk92AE
001P;OTIS Switzerland;364;VM;Elevator;1,001P,OTIS Switzerland,,364,VM,Elevator,1,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004Djt2AE
002P;OTIS Switzerland;182;VM;Elevator;2,002P,OTIS Switzerland,,182,VM,Elevator,2,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004Dju2AE
003P;OTIS Switzerland;121;VM;Elevator;3,003P,OTIS Switzerland,,121,VM,Elevator,3,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004Djv2AE
004P;OTIS Switzerland;91;VM;Elevator;4,004P,OTIS Switzerland,,91,VM,Elevator,4,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004Djw2AE
005P;OTIS Switzerland;73;VM;Elevator;5,005P,OTIS Switzerland,,73,VM,Elevator,5,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004Djx2AE
006P;OTIS Switzerland;61;VM;Elevator;6,006P,OTIS Switzerland,,61,VM,Elevator,6,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004Djy2AE
007P;OTIS Switzerland;52;VM;Elevator;7,007P,OTIS Switzerland,,52,VM,Elevator,7,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004Djz2AE
008P;OTIS Switzerland;46;VM;Elevator;8,008P,OTIS Switzerland,,46,VM,Elevator,8,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004Dk02AE
009P;OTIS Switzerland;40;VM;Elevator;9,009P,OTIS Switzerland,,40,VM,Elevator,9,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004Dk12AE
010P;OTIS Switzerland;36;VM;Elevator;10,010P,OTIS Switzerland,,36,VM,Elevator,10,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004Dk22AE
011P;OTIS Switzerland;33;VM;Elevator;11,011P,OTIS Switzerland,,33,VM,Elevator,11,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004Dk32AE
012P;OTIS Switzerland;30;VM;Elevator;12,012P,OTIS Switzerland,,30,VM,Elevator,12,Maintenance -VM,08qDO000000L0JsYAK,Maintenance -VM;Minutes;30,a2ZDO0000004Dk42AE
OTIS Switzerland;OS;19;VC;Elevator;19,,OTIS Switzerland,OS,19,VC,Elevator,19,Maintenance -VC,08qDO000000L0JtYAK,Maintenance -VC;Minutes;60,a2ZDO0000004DkB2AU
OTIS Switzerland;15;VC;Elevator;25,,OTIS Switzerland,,15,VC,Elevator,25,Maintenance -VC,08qDO000000L0JtYAK,Maintenance -VC;Minutes;60,a2ZDO0000004DkH2AU
OTIS Switzerland;OM;24;VC;Elevator;15,,OTIS Switzerland,OM,24,VC,Elevator,15,Maintenance -VC,08qDO000000L0JtYAK,Maintenance -VC;Minutes;60,a2ZDO0000004Dk72AE
OTIS Switzerland;15;NTC;Elevator;24,,OTIS Switzerland,,15,NTC,Elevator,24,Maintenance -NTC,08qDO000000L0JuYAK,Maintenance -NTC;Minutes;60,a2ZDO0000004DkG2AU
OTIS Switzerland;OM;26;NTC;Elevator;14,,OTIS Switzerland,OM,26,NTC,Elevator,14,Maintenance -NTC,08qDO000000L0JuYAK,Maintenance -NTC;Minutes;60,a2ZDO0000004Dk62AE
OTIS Switzerland;OS;18;VP;Elevator;20,,OTIS Switzerland,OS,18,VP,Elevator,20,Maintenance -VP,08qDO000000L0JvYAK,Maintenance -VP;Minutes;60,a2ZDO0000004DkC2AU
OTIS Switzerland;14;VP;Elevator;26,,OTIS Switzerland,,14,VP,Elevator,26,Maintenance -VP,08qDO000000L0JvYAK,Maintenance -VP;Minutes;60,a2ZDO0000004DkI2AU
OTIS Switzerland;OM;23;VP;Elevator;16,,OTIS Switzerland,OM,23,VP,Elevator,16,Maintenance -VP,08qDO000000L0JvYAK,Maintenance -VP;Minutes;60,a2ZDO0000004Dk82AE
OTIS Switzerland;16;NM;Elevator;23,,OTIS Switzerland,,16,NM,Elevator,23,Maintenance -NM,08qDO000000L0JwYAK,Maintenance -NM;Minutes;60,a2ZDO0000004DkF2AU
OTIS Switzerland;OM;28;NM;Elevator;13,,OTIS Switzerland,OM,28,NM,Elevator,13,Maintenance -NM,08qDO000000L0JwYAK,Maintenance -NM;Minutes;60,a2ZDO0000004Dk52AE
