Category__c,Department__c,Description__c,Id,Name
Safety,Service,NEW HIRE-SER,a2hDD000003OBs0YAG,99365
Safety,Service,G2S LOCKOUT&MANL RESCUE OP-SER,a2hDD000003OBs1YAG,99366
Safety,Service,FORKLIFT-SER,a2hDD000003OBs2YAG,99367
Safety,Service,SCAFFOLDING-SER,a2hDD000003OBs3YAG,99368
Safety,Service,RESPIRATOR TRAINING-SER,a2hDD000003OBs4YAG,99369
Safety,Service,APR-CONFINED SPACE-SER,a2hDD000003OBs5YAG,99370
Safety,Service,WK24 SZ/ARC FLASH-SER,a2hDD000003OBs6YAG,99371
Safety,Service,WASTE COORD./MANIFESTS-SER,a2hDD000003OBs7YAG,99372
Safety,Service,HOISTING & RIGGING CERTIF.-SER,a2hDD000003OBs8YAG,99373
Safety,Service,CRANE SIGNALING CERTIF.-SER,a2hDD000003OBs9YAG,99374
Safety,Service,OSHA 10-HOUR CONST.-SER,a2hDD000003OBsAYAW,99375
Safety,Service,OSHA 30-HOUR CONST.-SER,a2hDD000003OBsBYAW,99376
Safety,Service,WK10 SZ/POWER MATE-SER,a2hDD000003OBsCYAW,99377
Safety,Service,FIRST AID/CPR CERTIF.-SER,a2hDD000003OBsDYAW,99378
Safety,Service,DOT MED COMP & PASSED-SER,a2hDD000003OBsEYAW,99379
Safety,Service,RESP - FIT & MED CLEARED-SER,a2hDD000003OBsFYAW,99380
Safety,Service,ROPE GRIPPER CORRECTIVE-SER,a2hDD000003OBsGYAW,99381
Safety,Service,LOOK OUT FOR BIAS-SER,a2hDD000003OBsHYAW,99382
Safety,Service,RETRAIN FALL PROTECTION-SER,a2hDD000003OBsIYAW,99390
Safety,Service,RETRAIN CAR TOP ACCESS-SER,a2hDD000003OBsJYAW,99391
Safety,Service,RETRAIN PIT ACCESS-SER,a2hDD000003OBsKYAW,99392
Safety,Service,RETRAIN ELECTRICAL-SER,a2hDD000003OBsLYAW,99393
Safety,Service,RETRAIN MECHANICAL-SER,a2hDD000003OBsMYAW,99394
Safety,Service,RETRAIN HOIST & RIGGING-SER,a2hDD000003OBsNYAW,99395
Safety,Service,RETRAIN SCAFFOLDING-SER,a2hDD000003OBsOYAW,99396
Safety,Service,RETRAIN FALSE CARS/RUN PTFM-SER,a2hDD000003OBsPYAW,99397
Safety,Service,RETRAIN JUMPERS-SER,a2hDD000003OBsQYAW,99398
Safety,Service,RETRAIN ALL FPA TOPICS-SER,a2hDD000003OBsRYAW,99399
Technical Training,Service,SERV LVM-LRV,a2hDD000003OBsSYAW,99400
Technical Training,Service,SERV GCS,a2hDD000003OBsTYAW,99401
Technical Training,Service,SERV GEN2,a2hDD000003OBsUYAW,99402
,NE,NE LVM PRODUCT,a2hDD000003OBtGYAW,99475
,NE,NE HYDROFIT PRODUCT,a2hDD000003OBtHYAW,99476
,NE,NE ESCAL INSTAL PROC,a2hDD000003OBtIYAW,99477
,NE,NE ESCAL ADJ & INSP,a2hDD000003OBtJYAW,99478
,NE,NE GEN2 FLS CAR INSTAL,a2hDD000003OBtKYAW,99479
,NE,NE GEN2 FIT METH INSTAL,a2hDD000003OBtLYAW,99480
,NE,NE GEN2 ADJ & INSP,a2hDD000003OBtMYAW,99481
,NE,NE SKYRISE INSTALL TRAINING,a2hDD000003OBtNYAW,99482
,NE,NE HVS FIT METH INSTAL,a2hDD000003OBtOYAW,99483
,NE,NE HVS ADJ & INSP,a2hDD000003OBtPYAW,99484
,NE,NE REM-EMS,a2hDD000003OBtQYAW,99485
,NE,NE G2S INSTALL PROC,a2hDD000003OBtRYAW,99486
,NE,NE PDA,a2hDD000003OBtSYAW,99487
,NE,NE SIP TRNG,a2hDD000003OBtTYAW,99488
,NE,SAFETY TECHINCAL TOPIC 1 - NE,a2hDD000003OBtUYAW,99489
,NE,SAFETY TECHNICAL TOPIC 2 - NE,a2hDD000003OBtVYAW,99490
,NE,NE TOOLS,a2hDD000003OBtWYAW,99491
,NE,SAFETY TECHNICAL TOPIC 3 - NE,a2hDD000003OBtXYAW,99492
,NE,NE G2L INSTALL PROC,a2hDD000003OBtYYAW,99493
,NE,NE FPC TRAINING,a2hDD000003OBtZYAW,99494
Ethics Training,Service,SER ETHICS 1QT - COMPANY ASSETS,a2hDD000003OBtaYAG,99500
Ethics Training,Service,SER ETHICS 2QT - TBD,a2hDD000003OBtbYAG,99501
Ethics Training,Service,SER ETHICS 3QT - TBD,a2hDD000003OBtcYAG,99502
Ethics Training,Service,SER ETHICS 4QT - TBD,a2hDD000003OBtdYAG,99503
Ethics Training,Service,SER MOBILE COMPLIANCE ETHICS,a2hDD000003OBteYAG,99504
Ethics Training,Service,SER MOBILE APPS ETHICS,a2hDD000003OBtfYAG,99505
Ethics Training,Service,SER SUPER ETHICS TALK 2021,a2hDD000003OBtgYAG,99506
Ethics Training,Service,SER PAUSE FOR OUR VALUES,a2hDD000003OBthYAG,99507
Ethics Training,Service,SER CONSTR INCLUSION 2022,a2hDD000003OBtiYAG,99508
Ethics Training,Service,SER LIVING OUR ABSOLUTES ETHIC,a2hDD000003OBtjYAG,99509
Technical Training,Service,SERV MACHINES,a2hDD000003OBsrYAG,99425
Technical Training,Service,SERV MOTORS-GENS,a2hDD000003OBssYAG,99426
Technical Training,Service,SERV GOV. & SAFETIES,a2hDD000003OBstYAG,99427
Technical Training,Service,SERV ROPES,a2hDD000003OBsuYAG,99428
Technical Training,Service,SAFETY TECHNICAL TOPIC 1 - SER,a2hDD000003OBsvYAG,99429
Technical Training,Service,SERV HSTWY DOORS,a2hDD000003OBswYAG,99430
Technical Training,Service,SERV PIST & CYL REPLACE SWP,a2hDD000003OBsxYAG,99431
Technical Training,Service,SERV HYDRAULICS,a2hDD000003OBsyYAG,99432
Technical Training,Service,SERV ELEC. TRNG,a2hDD000003OBszYAG,99433
Technical Training,Service,SERV MECH. TRNG,a2hDD000003OBt0YAG,99434
Technical Training,Service,EMERGENCY EVACUATION TOOL - ALL,a2hDD000003OBt1YAG,99435
Technical Training,Service,SERV REPAIR SWPS,a2hDD000003OBt2YAG,99436
Technical Training,Service,SERV SERV EXCEL,a2hDD000003OBt3YAG,99437
Technical Training,Service,SERV LICS & CODES,a2hDD000003OBt4YAG,99438
Technical Training,Service,SERV PHONE & APPS,a2hDD000003OBt5YAG,99439
Technical Training,Service,SAFETY TECHNICAL TOPIC 2 - SER,a2hDD000003OBt6YAG,99440
Technical Training,Service,SAFETY TECHNICAL TOPIC 3 - SER,a2hDD000003OBt7YAG,99441
Technical Training,Service,SERV FPC TRAINING,a2hDD000003OBt8YAG,99442
Technical Training,Service,SERV PARTS APP,a2hDD000003OBt9YAG,99450
Technical Training,Service,SERV CLOSE OUT APP,a2hDD000003OBtAYAW,99451
Technical Training,Service,SERV SHIELD APP,a2hDD000003OBtBYAW,99452
Technical Training,Service,SERV DIAGNOSE APP,a2hDD000003OBtCYAW,99454
Technical Training,Service,SERV TUNE APP,a2hDD000003OBtDYAW,99455
Technical Training,Service,SERV SUPPORT APP,a2hDD000003OBtEYAW,99456
Technical Training,Service,SERV DIGITAL PROOF CONCEPT,a2hDD000003OBtFYAW,99457
Ethics Training,Service,SER ETHICS FUTURE USE#7,a2hDD000003OBtkYAG,99510
Ethics Training,Service,SER ETHICS FUTURE USE#8,a2hDD000003OBtlYAG,99511
Ethics Training,Service,SER ETHICS FUTURE USE#9,a2hDD000003OBtmYAG,99512
Ethics Training,Service,SER PROPRIETARY PROT TRNG 2022,a2hDD000003OBtnYAG,99513
Ethics Training,Service,SER FLD FOCUS FIRESD CHAT 2022,a2hDD000003OBtoYAG,99514
Ethics Training,Service,SER ETHICS FUTURE USE#12,a2hDD000003OBtpYAG,99515
Ethics Training,Service,SER ETHICS FUTURE USE#13,a2hDD000003OBtqYAG,99516
Ethics Training,Service,SER ETHICS FUTURE USE#14,a2hDD000003OBtrYAG,99517
Ethics Training,Service,SER ETHICS FUTURE USE#15,a2hDD000003OBtsYAG,99518
Ethics Training,Service,SER ETHICS FUTURE USE#16,a2hDD000003OBttYAG,99519
Ethics Training,Service,SER ETHICS FUTURE USE#17,a2hDD000003OBtuYAG,99520
Ethics Training,Service,SER ETHICS FUTURE USE#18,a2hDD000003OBtvYAG,99521
Ethics Training,Service,SER ETHICS FUTURE USE#19,a2hDD000003OBtwYAG,99522
Technical Training,Service,SERV MVS-HVS,a2hDD000003OBsVYAW,99403
Technical Training,Service,SERV E101-E401,a2hDD000003OBsWYAW,99404
Technical Training,Service,SERV RELAY LOGIC,a2hDD000003OBsXYAW,99405
Technical Training,Service,SERV SOLID STATE,a2hDD000003OBsYYAW,99406
Technical Training,Service,SERV REM-EMS,a2hDD000003OBsZYAW,99407
Technical Training,Service,SERV TKE SYS,a2hDD000003OBsaYAG,99408
Technical Training,Service,SERV TKE OWND SYS,a2hDD000003OBsbYAG,99409
Technical Training,Service,SERV SCHND SYS,a2hDD000003OBscYAG,99410
Technical Training,Service,SERV SCHND OWND SYS,a2hDD000003OBsdYAG,99411
Technical Training,Service,SERV KONE SYS,a2hDD000003OBseYAG,99412
Technical Training,Service,SERV KONE OWND SYS,a2hDD000003OBsfYAG,99413
Technical Training,Service,SERV Miscellaneous. SYS,a2hDD000003OBsgYAG,99414
Technical Training,Service,SERV SPARE 1 (DO NOT USE),a2hDD000003OBshYAG,99415
Technical Training,Service,SERV OTIS ESCALS,a2hDD000003OBsiYAG,99416
Technical Training,Service,SERV LG ESCALS,a2hDD000003OBsjYAG,99417
Technical Training,Service,SERV TKE ESCALS,a2hDD000003OBskYAG,99418
Technical Training,Service,SERV SCHND ESCALS,a2hDD000003OBslYAG,99419
Technical Training,Service,SERV KONE ESCALS,a2hDD000003OBsmYAG,99420
Technical Training,Service,SERV Miscellaneous. ESCALS,a2hDD000003OBsnYAG,99421
Technical Training,Service,SERV ESCAL SWP,a2hDD000003OBsoYAG,99422
Technical Training,Service,SERV RE-ROPING SWP,a2hDD000003OBspYAG,99423
Technical Training,Service,SERV SELECTORS,a2hDD000003OBsqYAG,99424
Safety,Service,WK14 SZ/ACCESS ALERT-SER,a2hDD000003OBrDYAW,99316
Safety,Service,WK20 SZ/LESN LERND/SPRAINS-SER,a2hDD000003OBrEYAW,99317
Safety,Service,WK35 SZ/FALL PROTECTION-SER,a2hDD000003OBrFYAW,99318
Safety,Service,WK09 SZ/MAN HANDLG OF MATL-SER,a2hDD000003OBrGYAW,99319
Safety,Service,WK31 SZ/HAZARD COMM STDS-SER,a2hDD000003OBrHYAW,99320
Safety,Service,WK34 SZ/NEAR MISS RPTING-SER,a2hDD000003OBrIYAW,99321
Safety,Service,WK08 SZ/LESN LERND/CAR TOP-SER,a2hDD000003OBrJYAW,99322
Safety,Service,WK07 SZ/WORKING IN THE PIT-SER,a2hDD000003OBrKYAW,99323
Safety,Service,WK30 SZ/STOR&DISP OF WASTE-SER,a2hDD000003OBrLYAW,99324
Safety,Service,WK25 SZ/ELEC SAFE WORK PRAC-SER,a2hDD000003OBrMYAW,99325
Safety,Service,WK27 SZ/MULTI-METER SAFETY-SER,a2hDD000003OBrNYAW,99326
Safety,Service,WK19 SZ/HEAT STRESS-SER,a2hDD000003OBrOYAW,99327
Safety,Service,WK37 SZ/MODERNIZATION-SER,a2hDD000003OBrPYAW,99328
Safety,Service,WK15 SZ/EMP REMEMBRANCE-SER,a2hDD000003OBrQYAW,99329
Safety,Service,WK39 SZ/OTIS SFTY/REPR TAB-SER,a2hDD000003OBrRYAW,99330
Safety,Service,WK36 SZ/HOISTING & RIGGING-SER,a2hDD000003OBrSYAW,99331
Safety,Service,WK49 SZ/GRINDER/LESN LERND-SER,a2hDD000003OBrTYAW,99332
Safety,Service,WK03 SZ/CUT RESIST PPE-SER,a2hDD000003OBrUYAW,99333
Safety,Service,WK17 SZ/VEH SAFETY/DIS DRVG-SER,a2hDD000003OBrVYAW,99334
Safety,Service,WK51 SZ/BELT CLEANING-SER,a2hDD000003OBrWYAW,99335
Safety,Service,WK40 SZ/FIRST-AID-SER,a2hDD000003OBrXYAW,99336
Safety,Service,WK41 SZ/REGULATORY RQMTS-SER,a2hDD000003OBrYYAW,99337
Safety,Service,WK29 SZ/WAREHOUSE INSP-SER,a2hDD000003OBrZYAW,99338
Safety,Service,WK42 SZ/LADDER SAFETY-SER,a2hDD000003OBraYAG,99339
Safety,Service,WK06 SZ/WORK IN THE HWAY-SER,a2hDD000003OBrbYAG,99340
Safety,Service,WK45 SZ/CAR TOP SAFETY-SER,a2hDD000003OBrcYAG,99341
Safety,Service,WK44 SZ/FALL PROT CAR TOP-SER,a2hDD000003OBrdYAG,99342
Safety,Service,WK18 SZ/FORKLIFTS-SER,a2hDD000003OBreYAG,99343
Safety,Service,WK04 SZ/RESPIRATORS-SER,a2hDD000003OBrfYAG,99344
Safety,Service,WK23 SZ/PREC AGST FIRE-SER,a2hDD000003OBrgYAG,99345
Safety,Service,WK22 SZ/LESN LERND/CRUSH-SER,a2hDD000003OBrhYAG,99346
Safety,Service,WK43 SZ/LAND&MACH/LESN LRND-SER,a2hDD000003OBriYAG,99347
Safety,Service,WK47 SZ/ESCL OR MVING WALK-SER,a2hDD000003OBrjYAG,99348
Safety,Service,WK16 SZ/DUMBWT & RES ELEV-SER,a2hDD000003OBrkYAG,99349
Safety,Service,WK46 SZ/RUNNING PLATF RUN-SER,a2hDD000003OBrlYAG,99350
Safety,Service,WK48 SZ/PORT ELEC/HAND TLS-SER,a2hDD000003OBrmYAG,99351
Safety,Service,JAN-PPE-TRAINING-SER,a2hDD000003OBrnYAG,99352
Safety,Service,MAR-JOB HAZD ASIS/HDSK COM-SER,a2hDD000003OBroYAG,99353
